id,eng_word,pl_word,score
157,congratulations,gratulacje,4.4
158,jean,dżins,4.36
159,cabin,domek,4.13
160,external,zewnętrzny,4.52
161,emergency,sytuacja kryzysowa,4.72
162,spirit,duch,4.79
163,grey,szary,4.48
164,hand,ręka,5.41
165,san,san,4.97
166,hell,piekło,5.1
167,neighborhood,sąsiedztwo,4.5
168,stage,etap,5.1
169,political,polityczny,5.29
170,twin,bliźniak,4.34
171,cant,nie mogę,4.35
172,conspiracy,spisek,4.26
173,maintained,utrzymywany,4.38
174,available,dostępne,5.28
175,maybe,może,5.45
176,reduce,zmniejszyć,4.73
177,images,zdjęcia,4.75
178,easter,Wielkanoc,4.12
179,assure,zapewnić,4.06
180,disney,disney,4.39
181,left,lewa,5.62
182,technical,techniczny,4.75
183,vital,życiowe,4.38
184,kent,Kent,4.17
185,loving,kochający,4.47
186,can,możemy,6.46
187,revolutionary,rewolucyjny,4.17
188,pursuit,pogoń,4.12
189,rolls,rolki,4.23
190,ship,statek,4.93
191,avoiding,unikanie,4.07
192,murray,murray,4.27
193,steady,stały,4.31
194,skip,pomiń,4.21
195,egyptian,egipski,4.21
196,suggest,sugerować,4.75
197,related,powiązane,5.1
198,monday,poniedziałek,4.8
199,carry,przenosić,4.89
200,apple,Apple,4.76
201,uncertainty,niepewność,4.03
202,pets,zwierzęta domowe,4.08
203,cat,kot,4.78
204,barely,ledwo,4.49
205,responsible,odpowiedzialna,4.88
206,agricultural,rolniczy,4.34
207,appears,wydaje się,4.84
208,completion,uzupełnianie,4.22
209,played,rozegrane,5.23
210,bolt,śruba,4.04
211,low,niski,5.33
212,should,powinny,5.99
213,least,najmniej,5.44
214,jumping,skakanie,4.23
215,placing,umieszczanie,4.17
216,gradually,stopniowo,4.21
217,sets,zestawy,4.69
218,sound,dźwięk,5.15
219,provincial,prowincjonalny,4.08
220,helen,helen,4.19
221,offices,biura,4.48
222,intelligence,wywiad,4.7
223,person,osoba,5.55
224,groups,grupy,5.12
225,reason,przyczyna,5.32
226,circuit,obwód,4.47
227,instance,przypadek,4.59
228,seasons,sezon,4.52
229,crop,crop,4.15
230,adequate,odpowiedni,4.05
231,pic,zdjęcie,4.2
232,communication,komunikacja,4.68
233,mario,mario,4.23
234,script,skrypt,4.36
235,takes,zajmuje,5.18
236,exploring,odkrywanie,4.06
237,prime,najważniejszy,4.81
238,telephone,telefon,4.41
239,makeup,makijaż,4.39
240,serve,obsługiwać,4.85
241,demonstrate,pokazać,4.2
242,presents,prezenty,4.41
243,creator,twórca,4.21
244,ram,baran,4.19
245,toe,palec u nogi,4.07
246,exploration,odkrywanie,4.19
247,curve,krzywa,4.14
248,cycling,jazda na rowerze,4.1
249,address,adres,4.91
250,racial,rasowy,4.3
251,pete,Pete,4.12
252,patent,patent,4.18
253,economy,ekonomia,4.87
254,northeast,północny wschód,4.06
255,frozen,zamrożony,4.32
256,facility,obiekt,4.6
257,return,powrót,5.19
258,joan,Joan,4.01
259,metal,metal,4.82
260,investors,inwestorzy,4.34
261,marcus,marcus,4.09
262,told,powiedziano,5.54
263,host,gospodarz,4.77
264,established,ustalone,4.9
265,compact,kompaktowy,4.06
266,grounds,podstawy,4.43
267,development,rozwój,5.31
268,employment,zatrudnienie,4.56
269,clear,wyczyść,5.25
270,friends,przyjaciele,5.43
271,coming,nadchodzący,5.4
272,matrix,macierz,4.07
273,sized,rozmiar,4.27
274,powerful,potężny,4.85
275,computer,komputer,4.97
276,upper,górny,4.72
277,capacity,pojemność,4.71
278,passengers,pasażerowie,4.34
279,sacred,święte,4.24
280,identification,identyfikacja,4.18
281,royal,królewski,4.85
282,missile,pocisk,4.14
283,colours,kolory,4.15
284,cold,zimny,5.02
285,sections,sekcje,4.36
286,weapon,broń,4.54
287,clothes,ubrania,4.72
288,two,dwa,6.1
289,stephen,Stephen,4.5
290,mini,mini,4.44
291,consequence,konsekwencja,4.07
292,delete,usunąć,4.22
293,pool,basen,4.67
294,dried,suszone,4.04
295,chapter,rozdział,4.65
296,resulted,wynik,4.37
297,slightly,nieco,4.75
298,cutting,cięcie,4.61
299,manufacturer,producent,4.21
300,boot,but,4.19
301,study,nauka,5.26
302,labor,praca,4.77
303,releases,wydawnictwa,4.32
304,bizarre,dziwaczny,4.02
305,africa,Afryka,4.92
306,sticks,patyki,4.14
307,swiss,szwajcarski,4.21
308,packing,pakowanie,4.06
309,christian,chrześcijański,4.88
310,viral,wirusowy,4.08
311,knight,rycerz,4.28
312,private,prywatny,5.19
313,grateful,wdzięczny,4.35
314,category,kategoria,4.57
315,contents,zawartość,4.18
316,reactions,reakcje,4.24
317,ton,tona,4.29
318,iron,żelazny,4.74
319,charlotte,Charlotte,4.22
320,library,biblioteka,4.86
321,australia,Australia,5.06
322,producing,tworzenie,4.45
323,dakota,Dakota,4.09
324,talks,rozmowy,4.61
325,banking,bankowość,4.35
326,last,ostatni,5.86
327,hack,hack,4.05
328,research,badania,5.39
329,honor,honor,4.69
330,obtain,uzyskać,4.4
331,causes,przyczyny,4.63
332,minds,umysły,4.45
333,loans,pożyczki,4.51
334,come,przyjdź,5.78
335,programme,program,4.57
336,friendly,przyjazny,4.64
337,ending,zakończenie,4.68
338,lights,światła,4.64
339,implement,narzędzie,4.2
340,stock,materiał,4.93
341,provider,dostawca,4.1
342,peak,szczyt,4.53
343,disability,niepełnosprawność,4.21
344,values,wartości,4.67
345,session,sesja,4.72
346,owns,posiada,4.21
347,connecting,łączące,4.16
348,switched,przełączony,4.14
349,lowest,najniższy,4.41
350,declaration,oświadczenie,4.1
351,graduation,ukończenie szkoły,4.07
352,partly,częściowo,4.3
353,employer,pracodawca,4.22
354,precious,cenne,4.33
355,platforms,platformy,4.19
356,northern,północny,4.85
357,inform,informować,4.15
358,bench,ławka,4.39
359,jay,jay,4.38
360,airlines,linie lotnicze,4.19
361,purchasing,zakupy,4.06
362,courage,odwaga,4.32
363,liberty,wolność,4.34
364,roots,korzenie,4.34
365,graphic,grafika,4.23
366,application,aplikacja,4.86
367,artwork,grafika,4.11
368,cost,koszt,5.24
369,lecture,wykład,4.14
370,samuel,Samuel,4.19
371,receive,otrzymać,4.85
372,burns,oparzenia,4.24
373,commercial,komercyjny,4.92
374,dairy,mleczarstwo,4.09
375,collapse,zwinąć,4.18
376,behaviour,zachowanie,4.36
377,their,ich,6.33
378,complexity,złożoność,4.02
379,legally,prawomocnie,4.21
380,tactics,taktyka,4.17
381,began,rozpoczął,5.07
382,james,james,5.11
383,artists,artystów,4.67
384,only,tylko,6.12
385,collection,kolekcja,4.96
386,witness,świadek,4.52
387,sen,sen,4.01
388,rough,szorstki,4.49
389,ali,ali,4.31
390,death,śmierć,5.4
391,cope,radzić sobie,4.04
392,measurements,pomiary,4.05
393,hull,kadłub,4.06
394,shoe,but,4.24
395,container,pojemnik,4.03
396,stronger,silniejszy,4.55
397,suited,odpowiedni,4.03
398,shell,muszla,4.39
399,writes,pisze,4.36
400,priest,ksiądz,4.33
401,race,wyścig,5.08
402,aims,celuje,4.21
403,fruits,owoce,4.07
404,hockey,hokej,4.42
405,everyday,codziennie,4.47
406,split,podział,4.65
407,meant,oznaczało,4.94
408,joy,radość,4.55
409,donated,podarowany,4.06
410,nature,natura,4.98
411,united,zjednoczony,5.47
412,dvd,DVD,4.25
413,costs,koszty,4.96
414,faster,szybszy,4.64
415,taking,wykorzystanie,5.39
416,singing,śpiew,4.59
417,hosts,hosty,4.23
418,asset,zasób,4.23
419,act,działanie,5.3
420,berlin,berlin,4.38
421,non,nie,5.29
422,philippines,Filipiny,4.29
423,nintendo,Nintendo,4.08
424,local,lokalny,5.43
425,soul,dusza,4.81
426,environmental,środowiskowy,4.7
427,trade,handel,5.12
428,happens,dzieje się,4.96
429,conflicts,konflikty,4.1
430,exceptional,wyjątkowy,4.05
431,walks,spacery,4.32
432,operator,operator,4.32
433,pregnancy,ciąża,4.33
434,result,wynik,5.18
435,discount,rabat,4.35
436,leo,leo,4.23
437,emissions,emisje,4.07
438,harmony,harmonia,4.11
439,sharp,ostry,4.48
440,occurred,miało miejsce,4.57
441,aid,pomoc,4.75
442,cartoon,kreskówka,4.08
443,brave,odważny,4.33
444,obtained,uzyskany,4.49
445,tons,tony,4.46
446,opinion,opinia,4.94
447,group,grupa,5.57
448,gross,brutto,4.45
449,content,treść,5.0
450,federation,federacja,4.26
451,commented,skomentowane,4.07
452,retirement,emerytura,4.53
453,gates,bramy,4.3
454,advocate,rzecznik,4.21
455,municipal,gminny,4.24
456,merit,zasługa,4.08
457,complaints,skargi,4.23
458,piece,sztuka,5.04
459,excitement,podekscytowanie,4.19
460,photo,zdjęcie,4.97
461,feels,odczucia,4.9
462,investments,inwestycje,4.27
463,solely,wyłącznie,4.2
464,rush,rush,4.48
465,into,do,6.11
466,button,przycisk,4.56
467,choose,wybierz,4.91
468,yield,plon,4.16
469,rules,zasady,5.06
470,nightmare,koszmar,4.19
471,earnings,zyski,4.27
472,relationship,związek,5.15
473,understand,zrozumieć,5.37
474,deadline,termin,4.12
475,tried,próbował,5.16
476,pocket,kieszonkowy,4.48
477,life,życie,5.89
478,raise,podnieść,4.75
479,comment,komentarz,4.88
480,dip,dip,4.05
481,nor,ani,4.78
482,burden,ciężar,4.23
483,track,ścieżka,5.02
484,ill,chory,4.72
485,paint,farba,4.52
486,islam,islam,4.42
487,lean,opierać się,4.14
488,science,nauka,5.12
489,fields,pola,4.6
490,desperate,zdesperowany,4.32
491,poland,Polska,4.24
492,accent,akcent,4.14
493,recognition,uznanie,4.47
494,declared,ogłoszone,4.55
495,aka,znany również jako,4.15
496,handled,z uchwytem,4.25
497,knights,rycerze,4.05
498,organic,organiczny,4.4
499,flowers,kwiaty,4.64
500,rainbow,tęcza,4.07
501,kidney,nerka,4.03
502,variation,odmiana,4.08
503,eve,przed,4.32
504,proceed,kontynuować,4.18
505,caribbean,Karaiby,4.12
506,slight,niewielki,4.22
507,called,zwana,5.59
508,day,dzień,5.95
509,execution,wykonanie,4.29
510,gary,Gary,4.39
511,teacher,nauczyciel,4.88
512,had,miał,6.33
513,expensive,drogi,4.69
514,closure,zamknięcie,4.11
515,massachusetts,Massachusetts,4.31
516,knows,wie,5.07
517,advantage,zaleta,4.78
518,but,ale,6.63
519,permission,zezwolenie,4.5
520,big,duże,5.67
521,consumers,konsumentów,4.39
522,operations,operacje,4.87
523,loading,ładowanie,4.1
524,london,Londyn,5.27
525,divorce,rozwód,4.36
526,pounds,funtów,4.53
527,wayne,Wayne,4.37
528,hear,słyszeć,5.23
529,entire,cały,5.09
530,characterized,charakteryzować się,4.01
531,calls,połączenia,4.91
532,curriculum,program nauczania,4.12
533,departments,wydziały,4.2
534,screw,śruba,4.25
535,ass,tyłek,5.0
536,authorities,władze,4.63
537,programs,programy,4.9
538,okay,w porządku,5.06
539,protest,protest,4.45
540,tribal,plemienne,4.03
541,beside,obok,4.19
542,virtual,wirtualny,4.32
543,indians,Indianie,4.25
544,characteristics,charakterystyka,4.28
545,standing,stojący,4.86
546,located,znajduje się,4.86
547,accepted,przyjęty,4.67
548,contain,zawierać,4.5
549,mar,mar,4.19
550,tommy,tommy,4.16
551,forty,czterdzieści,4.2
552,williams,williams,4.67
553,creek,potok,4.37
554,assumed,przyjęty,4.39
555,than,niż,6.13
556,cars,samochody,4.89
557,lie,kłamstwo,4.84
558,principle,zasada,4.34
559,participants,uczestnicy,4.4
560,supply,dostawa,4.81
561,decline,spadek,4.4
562,describing,opisujący,4.23
563,base,podstawa,5.05
564,provisions,przepisy,4.12
565,surface,powierzchnia,4.83
566,discuss,omówić,4.66
567,filed,złożony,4.49
568,enemies,wrogowie,4.4
569,resident,mieszkaniec,4.38
570,divine,boski,4.24
571,americans,Amerykanie,4.83
572,apartments,mieszkania,4.01
573,cnn,CNN,4.28
574,radical,radykalny,4.33
575,mercy,miłosierdzie,4.25
576,auction,aukcja,4.27
577,jews,Żydzi,4.47
578,station,stacja,5.01
579,arrived,przybył,4.79
580,asked,zapytał,5.3
581,ice,lód,5.0
582,stating,stwierdzenie,4.15
583,animal,zwierzę,4.81
584,techniques,techniki,4.51
585,prayer,modlitwa,4.42
586,mixing,mieszanie,4.11
587,ebay,eBay,4.04
588,ratio,współczynnik,4.37
589,moved,przeprowadził się,5.01
590,albert,Albert,4.24
591,starts,początek,4.83
592,requiring,wymagające,4.14
593,hair,włosy,5.08
594,enter,wprowadzić,4.81
595,instead,zamiast,5.24
596,indoor,w pomieszczeniach,4.09
597,spirits,alkohol,4.16
598,surrounded,otoczony,4.36
599,less,mniej,5.49
600,casino,kasyno,4.16
601,fails,niepowodzenia,4.26
602,issues,kwestie,5.19
603,committed,zaangażowany,4.65
604,remove,usunąć,4.71
605,pension,pension,4.22
606,created,stworzone,5.05
607,ireland,Irlandia,4.66
608,soon,wkrótce,5.32
609,hosted,przyjęci,4.25
610,dirty,brudny,4.55
611,archives,archiwum,4.1
612,aspect,aspekt,4.41
613,spring,wiosna,4.92
614,places,miejsca,5.03
615,veteran,weteran,4.21
616,supporting,wspierający,4.71
617,software,oprogramowanie,4.77
618,tourist,turysta,4.2
619,readers,czytelnicy,4.41
620,adds,dodaje,4.38
621,learn,nauka,5.17
622,mode,tryb,4.63
623,every,każdy,5.79
624,passed,przekazany,4.92
625,noon,południe,4.11
626,terry,terry,4.24
627,lips,wargi,4.35
628,company,firma,5.6
629,cbs,cbs,4.14
630,described,opisany,5.0
631,newest,najnowszy,4.04
632,comply,przestrzegać,4.04
633,platform,platforma,4.67
634,visual,wizualny,4.5
635,bodies,ciała,4.69
636,clubs,kluby,4.51
637,marijuana,marihuana,4.2
638,league,liga,5.13
639,gray,szary,4.45
640,lies,kłamstwa,4.73
641,remind,przypomnieć,4.37
642,territory,terytorium,4.6
643,deadly,śmiertelny,4.16
644,solo,solo,4.61
645,technique,technika,4.47
646,joined,dołączył,4.73
647,desire,pragnienie,4.61
648,travelling,podróżowanie,4.16
649,back,powrót,6.04
650,anytime,w dowolnym momencie,4.19
651,summer,lato,5.23
652,requested,proszony,4.33
653,cross,krzyż,5.0
654,wallet,portfel,4.15
655,chancellor,kanclerz,4.13
656,personally,osobiście,4.57
657,built,zbudowany,5.07
658,lovers,kochankowie,4.15
659,proud,duma,4.78
660,worst,najgorsze,4.93
661,stack,stos,4.05
662,collaboration,współpraca,4.28
663,tolerance,tolerancja,4.06
664,sheriff,szeryf,4.16
665,examination,egzamin,4.26
666,treat,traktować,4.75
667,strings,ciągi,4.04
668,languages,języki,4.42
669,fraud,oszustwo,4.37
670,appointed,mianowany,4.59
671,scratch,zera,4.16
672,believed,uważano,4.75
673,mother,matka,5.24
674,paid,opłacony,5.12
675,thesis,praca dyplomowa,4.05
676,wolf,wilk,4.35
677,wrap,zawinięcie,4.2
678,barbara,Barbara,4.2
679,length,długość,4.77
680,supplied,dostarczony,4.24
681,chosen,wybrany,4.61
682,gender,płeć,4.59
683,tries,próby,4.53
684,principles,zasady,4.42
685,summary,podsumowanie,4.37
686,off,wyłączony,5.93
687,territories,terytoria,4.02
688,flow,przepływ,4.68
689,pleased,zadowolony,4.44
690,fundamental,podstawowy,4.33
691,plates,płyty,4.22
692,confirmed,potwierdzone,4.67
693,directly,bezpośrednio,4.9
694,noble,szlachetny,4.24
695,psychological,psychologiczny,4.27
696,chaos,chaos,4.27
697,specialist,specjalista,4.28
698,jerusalem,Jerozolima,4.2
699,mason,mason,4.14
700,millions,miliony,4.64
701,detect,wykrywać,4.05
702,functioning,działanie,4.02
703,studying,nauka,4.42
704,community,społeczność,5.34
705,chicken,kurczak,4.63
706,possibilities,możliwości,4.11
707,trees,drzewa,4.69
708,caroline,caroline,4.01
709,biggest,największy,4.93
710,limited,ograniczony,5.02
711,paintings,obrazy,4.2
712,adult,dla dorosłych,4.8
713,luke,luke,4.45
714,austin,austin,4.36
715,twice,dwukrotnie,4.84
716,graduate,absolwent,4.5
717,prepared,przygotowany,4.74
718,tokyo,tokyo,4.27
719,atlantic,atlantycki,4.39
720,retain,zachować,4.16
721,soil,gleb,4.42
722,finding,odnalezienie,4.85
723,invitation,zaproszenie,4.14
724,canal,kanał,4.22
725,prove,udowodnić,4.77
726,smart,mądry,4.83
727,perform,występować,4.66
728,fever,gorączka,4.22
729,cooking,gotowanie,4.45
730,seed,nasiona,4.37
731,seen,widziano,5.52
732,shaped,kształtowany,4.38
733,facilities,udogodnienia,4.66
734,necessary,niezbędny,4.91
735,cookie,ciasteczko,4.07
736,trucks,ciężarówki,4.2
737,partner,partner,4.84
738,sad,smutny,4.84
739,poison,trucizna,4.08
740,initiative,inicjatywa,4.36
741,boundaries,granice,4.25
742,male,mężczyzna,4.89
743,efficient,efektywny,4.42
744,gods,bogowie,4.4
745,souls,dusze,4.21
746,warned,ostrzegł,4.18
747,pump,pompa,4.28
748,outer,zewnętrzny,4.25
749,landing,lądowanie,4.4
750,wheels,kółka,4.25
751,mile,mila,4.59
752,nbc,nbc,4.02
753,worked,pracował,5.16
754,knock,puk,4.35
755,pennsylvania,Pensylwania,4.4
756,documentary,dokument,4.31
757,sport,sport,4.73
758,holes,dziury,4.35
759,western,zachodni,5.01
760,implications,implikacje,4.1
761,tip,wskazówka,4.55
762,vehicle,pojazd,4.76
763,immigration,miejsca docelowe,4.47
764,phrase,wyrażenie,4.3
765,ellen,ellen,4.05
766,beijing,pekin,4.12
767,linked,powiązany,4.54
768,bush,krzak,4.49
769,treasury,skarb,4.24
770,pin,kod PIN,4.28
771,eddie,Eddie,4.14
772,chances,szanse,4.51
773,flags,flagi,4.09
774,games,gry,5.44
775,extend,rozszerzyć,4.34
776,therapy,terapia,4.52
777,trend,trend,4.51
778,streets,ulice,4.66
779,alliance,sojusz,4.4
780,chase,pościg,4.44
781,spell,zaklęcie,4.37
782,opinions,opinie,4.41
783,convention,konwencja,4.5
784,real,prawdziwy,5.6
785,administrative,administracyjne,4.45
786,over,ponad,6.08
787,totally,całkowicie,4.83
788,los,los,4.78
789,roman,rzymski,4.5
790,wrote,napisał,5.04
791,sharing,dzielenie się,4.66
792,parade,parada,4.16
793,form,formularz,5.31
794,tall,wysoki,4.52
795,leather,skóra,4.35
796,investing,inwestowanie,4.11
797,books,książki,5.15
798,knee,kolano,4.33
799,cheaper,tańszy,4.22
800,bull,byk,4.34
801,muslims,muzułmanie,4.44
802,perceived,postrzegany,4.16
803,protocol,protokół,4.15
804,lunch,obiad,4.66
805,responsibility,odpowiedzialność,4.75
806,bathroom,łazienka,4.54
807,managers,menedżerowie,4.47
808,urge,pragnienie,4.11
809,florida,Floryda,4.76
810,focusing,fokusowanie,4.25
811,producers,producenci,4.34
812,forum,forum,4.38
813,important,ważny,5.44
814,moon,księżyc,4.7
815,burning,płonący,4.5
816,meter,mierz,4.09
817,insects,owady,4.02
818,subscribe,subskrybuj,4.02
819,intent,zamiar,4.28
820,nut,orzech,4.04
821,germany,Niemcy,4.9
822,exclusive,ekskluzywne,4.56
823,terrorists,terroryści,4.2
824,kill,zabić,5.09
825,boots,buty,4.33
826,reveal,odkryć,4.43
827,cigarettes,papierosy,4.09
828,depends,zależy,4.53
829,publisher,wydawca,4.13
830,apparently,najwyraźniej,4.8
831,emerging,wschodzący,4.19
832,relationships,związki,4.68
833,hunter,adresy,4.37
834,network,sieć,5.02
835,achievement,osiągnięcie,4.36
836,saint,święty,4.41
837,whereas,podczas gdy,4.41
838,wound,rana,4.24
839,drum,bęben,4.11
840,revenue,przychód,4.64
841,sisters,siostry,4.43
842,guy,facet,5.4
843,terms,warunki,5.1
844,wealth,bogactwo,4.51
845,contact,kontakt,4.99
846,consultation,konsultacja,4.02
847,situated,położony,4.19
848,agreement,porozumienie,4.88
849,resolve,rozwiązać,4.17
850,permanent,stały,4.57
851,threatening,groźny,4.19
852,professionals,profesjonaliści,4.24
853,duo,duet,4.08
854,somehow,jakoś,4.53
855,rings,pierścienie,4.33
856,lonely,samotny,4.25
857,suggestion,sugestia,4.23
858,dive,nurkowanie,4.12
859,american,amerykański,5.49
860,impressed,pod wrażeniem,4.34
861,hills,wzgórza,4.46
862,affect,wpływać,4.59
863,box,skrzynka,5.04
864,aids,pomoc,4.25
865,developer,programista,4.2
866,pre,przed,4.95
867,advise,doradztwo,4.09
868,addresses,adresy,4.13
869,sense,zmysł,5.19
870,string,struna,4.4
871,mines,moje,4.18
872,secondary,drugorzędny,4.53
873,castle,zamek,4.45
874,pittsburgh,pittsburgh,4.13
875,rent,wynajem,4.58
876,tier,poziom,4.16
877,audience,odbiorcy,4.73
878,brilliant,genialny,4.55
879,mate,mate,4.55
880,recommendation,zalecenie,4.09
881,trading,handel,4.63
882,modern,nowoczesny,5.07
883,processing,przetwarzanie,4.46
884,pressed,wyciśnięty,4.12
885,defeat,kliki,4.51
886,hook,haczyk,4.37
887,asks,pyta,4.44
888,quantum,kwantowy,4.07
889,cities,miasta,4.84
890,purposes,cele,4.51
891,release,wydanie,5.09
892,relate,odnosić się,4.24
893,scoring,punktacja,4.36
894,testament,testament,4.07
895,performance,wydajność,5.16
896,commander,dowódca,4.51
897,arthur,arthur,4.41
898,alan,Alan,4.45
899,appear,pojawiać się,4.85
900,expect,oczekuj,5.01
901,islands,wyspy,4.5
902,crops,uprawy,4.05
903,charm,urok,4.12
904,recording,rejestracja,4.51
905,quite,całkiem,5.29
906,milan,Milan,4.05
907,notice,ogłoszenie,4.9
908,trainer,trener,4.08
909,worthy,godny,4.29
910,globe,kula ziemska,4.28
911,used,używany,5.8
912,industry,branża,5.19
913,singles,singiel,4.44
914,possess,posiadać,4.02
915,economics,ekonomia,4.42
916,flesh,ciało,4.2
917,winners,zwycięzcy,4.43
918,beans,fasola,4.14
919,native,rodowity,4.69
920,britain,Wielka Brytania,4.72
921,subjects,przedmioty,4.38
922,sucks,do bani,4.38
923,preparing,przygotowujący,4.33
924,positions,pozycje,4.63
925,fellow,kolega,4.76
926,liberal,liberalny,4.66
927,model,model,5.13
928,grand,wspaniały,4.91
929,reaction,reakcja,4.73
930,farms,gospodarstwa,4.14
931,province,prowincja,4.47
932,instructor,instruktor,4.02
933,without,bez,5.69
934,hall,sala,4.87
935,france,Francja,4.94
936,tear,łza,4.35
937,restricted,ograniczony,4.19
938,laid,ułożony,4.56
939,stop,zatrzymać,5.52
940,privilege,przywilej,4.2
941,opposition,opozycja,4.57
942,rail,kolej,4.41
943,phase,faza,4.64
944,marie,marie,4.19
945,underground,podziemny,4.32
946,hiring,zatrudnianie,4.23
947,starter,starter,4.02
948,considerable,znaczny,4.25
949,graduates,absolwenci,4.02
950,equally,równie,4.39
951,formal,formal,4.45
952,studio,studio,4.66
953,lucky,szczęście,4.77
954,schemes,plany,4.03
955,commonly,często,4.38
956,ugly,brzydki,4.42
957,exercise,ćwiczenie,4.68
958,occasion,okazja,4.38
959,iii,iii,4.63
960,seeking,poszukiwanie,4.58
961,sing,śpiewać,4.54
962,ultimately,ostatecznie,4.57
963,buyers,kupujący,4.16
964,cut,cięcie,5.24
965,possibility,możliwość,4.58
966,board,tablica,5.24
967,superior,najlepszy,4.46
968,portion,porcja,4.53
969,organised,zorganizowany,4.08
970,targeted,ukierunkowany,4.22
971,speaker,głośnik,4.49
972,cloth,tkanina,4.03
973,encourage,zachęcać,4.45
974,females,kobiety,4.38
975,moment,chwila,5.24
